time_in_cycles,setting_1,TRA,T2,T24,T30,T50,P2,P15,P30,Nf,Nc,Ps30,phi,NRf,NRc,htBleed,Nf_dmd,PCNfR_dmd,W31,W32,failure
36,20.0009,100,491.19,607.2,1477.32,1246.65,9.35,13.65,334.64,2323.95,8720.1,44.39,315.23,2388.04,8060.16,363,2324,100,24.52,14.7145,0
37,42.0046,100,445,549.88,1353.47,1128.13,3.91,5.71,138.71,2211.87,8317.68,41.94,130,2387.95,8080.04,331,2212,100,10.69,6.3475,0
38,25.0069,60,462.54,536.88,1259.93,1047.22,7.05,9.03,175.2,1915.3,8004.11,36.71,164.75,2028.2,7876.34,306,1915,84.93,14.37,8.5467,0
39,35.0068,100,449.44,555.39,1371.6,1123.84,5.48,8,194.82,2222.86,8344.98,41.73,183.04,2387.96,8060.46,333,2223,100,14.92,9.0049,0
40,41.9989,100,445,549.22,1355.96,1123.07,3.91,5.72,138.58,2211.91,8325.17,41.78,130.5,2387.9,8081.93,331,2212,100,10.48,6.3783,0
41,35.0008,100,449.44,555.35,1362.74,1119.51,5.48,8,194.68,2222.91,8346.4,42.11,183.09,2387.92,8064.5,334,2223,100,14.78,8.9599,0
42,20.0023,100,491.19,607.81,1477.34,1243.39,9.35,13.66,334.77,2323.91,8722.9,44.26,314.62,2388.02,8061.92,366,2324,100,24.63,14.7021,0
43,20.0059,100,491.19,606.82,1478.52,1249.97,9.35,13.65,334.52,2323.95,8726.54,44.26,315.59,2388.07,8056.78,365,2324,100,24.45,14.6921,0
44,42.0015,100,445,550.1,1352.9,1127.93,3.91,5.72,139.05,2211.88,8316.24,42.05,131.39,2387.92,8078.7,329,2212,100,10.87,6.4984,0
45,25.0068,60,462.54,536.34,1265.55,1042.79,7.05,9.02,174.92,1915.3,8000.65,36.76,164.67,2028.15,7869.41,307,1915,84.93,14.33,8.441,0
46,25.0039,60,462.54,536.5,1255.66,1052.05,7.05,9.02,175.54,1915.27,8007.78,36.74,164.63,2028.15,7872.42,307,1915,84.93,14.35,8.6361,0
47,20.0078,100,491.19,607.45,1481.1,1249.58,9.35,13.65,335.35,2323.99,8717.02,44.37,315.56,2388.07,8058.55,366,2324,100,24.56,14.7166,0
48,35.0047,100,449.44,555.75,1362.2,1129.41,5.48,8,194.17,2222.94,8345.29,41.96,183.63,2387.98,8064.7,332,2223,100,14.82,8.9875,0
49,42.0054,100,445,549.25,1351.28,1126.13,3.91,5.71,138.92,2211.85,8317.04,41.78,130.54,2387.93,8083.34,330,2212,100,10.61,6.406,0
50,25.0015,60,462.54,536.76,1259.07,1051.11,7.05,9.03,175.23,1915.32,8008.43,36.84,164.8,2028.18,7873.88,306,1915,84.93,14.41,8.5282,0
51,0.0025,100,518.67,642.41,1582.93,1404.69,14.62,21.61,553.27,2388.02,9049.3,47.31,521.72,2388.1,8133.52,391,2388,100,38.92,23.3069,0
52,24.9989,60,462.54,536.41,1256.95,1046.58,7.05,9.03,174.93,1915.29,8004.75,36.73,164.88,2028.2,7875.09,307,1915,84.93,14.23,8.5666,0
53,42.0026,100,445,549.63,1360.07,1125.22,3.91,5.71,139.23,2211.89,8314.07,41.91,130.18,2387.94,8084.04,330,2212,100,10.63,6.4229,0
54,20.0009,100,491.19,607.45,1483.21,1253.92,9.35,13.65,334.57,2323.9,8719.3,44.39,316.03,2388.03,8057.07,364,2324,100,24.42,14.7472,0
55,35.0046,100,449.44,555.7,1363.16,1125.48,5.48,8,194.65,2222.9,8341.41,41.9,182.96,2387.96,8064.6,333,2223,100,14.98,8.799,0
56,41.9997,100,445,548.89,1352.83,1125.49,3.91,5.72,138.79,2211.88,8312.25,41.81,130.31,2387.91,8086.64,331,2212,100,10.71,6.296,0
57,35.007,100,449.44,555.68,1366.41,1133.8,5.48,8,193.94,2222.85,8347.87,42.01,182.98,2387.95,8063.5,333,2223,100,14.8,8.8338,0
58,25.0039,60,462.54,536.45,1254.97,1045.96,7.05,9.03,175.15,1915.23,8007.95,36.64,164.44,2028.14,7874.14,306,1915,84.93,14.32,8.4817,0
59,25.0041,60,462.54,535.79,1258.86,1051.98,7.05,9.03,175.37,1915.33,8008.34,36.6,164.97,2028.21,7870.04,306,1915,84.93,14.46,8.508,0
60,35.0076,100,449.44,555.16,1364.97,1126.59,5.48,8,194.78,2222.91,8348.17,41.73,183.07,2388.03,8058.37,334,2223,100,14.94,9.0224,0
61,20.0038,100,491.19,606.98,1486.89,1249.38,9.35,13.65,334.73,2323.95,8715.86,44.27,314.84,2388.09,8061.07,364,2324,100,24.56,14.7374,0
62,41.9992,100,445,549.39,1354.35,1125.15,3.91,5.72,138.3,2211.78,8322.35,42.06,130.7,2387.87,8082.34,332,2212,100,10.78,6.3681,0
63,25.0002,60,462.54,537.19,1262.4,1050.55,7.05,9.02,175.69,1915.28,8004.57,36.82,164.12,2028.16,7869.77,309,1915,84.93,14.34,8.5431,0
64,20.003,100,491.19,607.91,1486.41,1255.78,9.35,13.66,334.42,2324.01,8722.1,44.32,315.21,2388.05,8058.89,366,2324,100,24.45,14.609,0
65,25.0013,60,462.54,536.58,1256.91,1052.12,7.05,9.03,175.1,1915.25,8005.35,36.79,164.62,2028.11,7868.44,309,1915,84.93,14.25,8.5279,0
66,25.001,60,462.54,536.94,1261.89,1047.03,7.05,9.03,174.9,1915.26,8004.81,36.7,164.74,2028.19,7868.43,307,1915,84.93,14.29,8.6497,0
67,42.0068,100,445,549.34,1348.09,1128.39,3.91,5.72,138.6,2211.84,8312.31,41.91,130.58,2387.87,8078.55,331,2212,100,10.75,6.3377,0
68,34.9985,100,449.44,554.97,1369.95,1123.53,5.48,8,194.19,2222.86,8344.52,41.86,182.95,2387.99,8066.04,334,2223,100,14.62,8.9759,0
69,42.0043,100,445,549.34,1347.32,1126.28,3.91,5.71,138.33,2211.82,8325.84,42.09,130.76,2387.91,8089.2,332,2212,100,10.62,6.2711,0
70,0.0016,100,518.67,642.51,1587.56,1403.88,14.62,21.61,553.62,2388.1,9058.45,47.4,521.8,2388.12,8134.85,393,2388,100,38.9,23.2582,0
71,10.0079,100,489.05,604.81,1496.62,1308.23,10.52,15.49,395.2,2318.93,8779.18,45.4,371.83,2388.06,8129.71,369,2319,100,28.51,17.2416,0
72,42.0036,100,445,549.42,1349.34,1122.86,3.91,5.72,139.26,2211.82,8310.86,41.91,130.39,2387.82,8077.74,332,2212,100,10.49,6.3859,0
73,41.9998,100,445,549.63,1342.87,1124.58,3.91,5.71,139.17,2211.83,8320.25,42.06,130.63,2387.88,8086.29,331,2212,100,10.52,6.3799,0
74,20.0008,100,491.19,606.79,1481.15,1247.38,9.35,13.66,334.96,2323.98,8717.11,44.42,314.99,2388.09,8059.63,365,2324,100,24.54,14.8091,0
75,41.999,100,445,549.39,1343.92,1127.16,3.91,5.71,138.52,2211.85,8317.03,42.14,130.37,2387.86,8082.26,331,2212,100,10.66,6.2695,0
76,24.9999,60,462.54,536.85,1267.96,1051.62,7.05,9.03,175.03,1915.24,8005.26,36.61,165,2028.16,7870.12,307,1915,84.93,14.31,8.4778,0
77,34.9992,100,449.44,555.82,1365.09,1125.61,5.48,8,194.93,2222.88,8352.14,41.88,183.44,2387.91,8061.97,334,2223,100,14.83,8.8097,0
78,35.0075,100,449.44,556.09,1366.27,1121.06,5.48,8,194.67,2222.87,8342.53,41.89,182.65,2387.94,8063.32,334,2223,100,14.81,8.8895,0
79,9.9997,100,489.05,604.23,1503.13,1303.86,10.52,15.49,395.15,2318.94,8776.42,45.41,371.51,2388.18,8125.71,371,2319,100,28.71,17.1154,0
80,25.0031,60,462.54,536.66,1263.21,1042.76,7.05,9.03,175.66,1915.3,8003.34,36.72,164.76,2028.22,7866.46,307,1915,84.93,14.22,8.6107,0
81,42.001,100,445,549.8,1354.12,1133.87,3.91,5.72,138.8,2211.85,8320.72,42.16,131.03,2387.88,8079.85,330,2212,100,10.65,6.3056,0
82,25.0005,60,462.54,536.56,1256.63,1041.76,7.05,9.03,175.66,1915.28,8001.13,36.77,164.49,2028.12,7873.59,307,1915,84.93,14.38,8.5967,0
83,25.0061,60,462.54,537.33,1251.77,1047.65,7.05,9.03,176.03,1915.27,8001.65,36.62,165.11,2028.19,7871.84,306,1915,84.93,14.26,8.6078,0
84,35.0059,100,449.44,556.11,1364.13,1128.83,5.48,8,194.77,2222.92,8348.22,41.82,182.87,2387.92,8063.09,334,2223,100,14.83,8.8489,0
85,41.9992,100,445,549.35,1348.18,1120.07,3.91,5.71,139.17,2211.8,8321.66,42.12,130.56,2387.83,8078.21,330,2212,100,10.59,6.4164,0
86,42.0027,100,445,549.98,1353.03,1130.79,3.91,5.72,138.5,2211.86,8317.53,42.28,130.5,2387.87,8082.07,332,2212,100,10.73,6.2981,0
87,41.9997,100,445,549.69,1357.79,1121.08,3.91,5.72,138.52,2211.86,8316.64,42.02,130.76,2387.88,8078.46,332,2212,100,10.57,6.3732,0
88,35.0015,100,449.44,555.5,1364.9,1134.59,5.48,8,194.34,2222.87,8339.7,41.95,183,2387.97,8059.05,335,2223,100,14.95,8.9691,0
89,25.0013,60,462.54,536.83,1259.19,1048.01,7.05,9.03,175.76,1915.27,8010.36,36.74,164.74,2028.19,7872.88,307,1915,84.93,14.05,8.5643,0
90,24.9989,60,462.54,537.65,1264.54,1048.75,7.05,9.03,174.96,1915.27,7999.93,36.69,164.65,2028.13,7864.89,307,1915,84.93,14.19,8.4903,0
91,42.0035,100,445,549.6,1346.98,1125.8,3.91,5.72,138.2,2211.8,8318.5,41.97,130.33,2387.81,8078.98,332,2212,100,10.52,6.4103,0
92,42.0069,100,445,549.71,1351.76,1125.42,3.91,5.71,138.13,2211.82,8320.65,42.32,130.72,2387.84,8082.69,331,2212,100,10.54,6.4115,0
93,0.002,100,518.67,642.5,1588.02,1406.88,14.62,21.61,552.92,2388.11,9055.36,47.58,521.98,2388.09,8126.36,392,2388,100,38.91,23.3364,0
94,42.0071,100,445,550.16,1353.56,1124.86,3.91,5.71,138.61,2211.82,8313.25,42.18,130.4,2387.85,8077.01,331,2212,100,10.59,6.4547,0
95,42.0015,100,445,549.29,1352.95,1122.6,3.91,5.71,138.77,2211.75,8308.56,42.15,130.04,2387.87,8084.13,331,2212,100,10.58,6.2944,0
96,25.0014,60,462.54,536.99,1267.66,1048.55,7.05,9.03,175.61,1915.28,8005.89,36.8,164.83,2028.19,7871.42,307,1915,84.93,14.32,8.5535,0
97,20.0028,100,491.19,607.38,1483.04,1251.93,9.35,13.66,334.52,2323.92,8721.9,44.32,314.97,2388.09,8063.39,364,2324,100,24.49,14.7621,0
98,25.0053,60,462.54,537.03,1262.2,1044.08,7.05,9.03,176.06,1915.24,8007.64,36.79,164.68,2028.18,7868.2,306,1915,84.93,14.19,8.6686,0
99,20.003,100,491.19,606.97,1479,1253.77,9.35,13.66,335.11,2323.97,8717.11,44.49,315.29,2388.13,8055.47,364,2324,100,24.49,14.7445,0
100,42.0052,100,445,549.08,1361.09,1124.51,3.91,5.71,138.83,2211.82,8319.09,42.18,130.7,2387.89,8079.72,330,2212,100,10.66,6.3885,0
101,42.0056,100,445,549.48,1356.41,1123.85,3.91,5.71,138.13,2211.84,8318.43,42.18,130.24,2387.92,8083.91,331,2212,100,10.52,6.376,0
102,25.0056,60,462.54,537.04,1257.76,1047.05,7.05,9.02,175.83,1915.28,8006.38,36.61,164.73,2028.22,7868.27,308,1915,84.93,14.31,8.5874,0
103,25.0019,60,462.54,536.9,1263.21,1047.21,7.05,9.03,175.58,1915.34,8011.68,36.95,164.79,2028.21,7869.97,306,1915,84.93,14.22,8.561,0
104,42.0018,100,445,549.91,1351.11,1132.06,3.91,5.71,138.6,2211.83,8313.17,42.11,130.63,2387.83,8074.49,330,2212,100,10.53,6.347,0
105,20.0032,100,491.19,607.48,1493.71,1252,9.35,13.66,334.34,2324.06,8713.1,44.53,314.68,2388.1,8058.22,366,2324,100,24.49,14.7628,0
106,42.0007,100,445,549.23,1352.26,1132.52,3.91,5.72,138.12,2211.82,8323.73,42.16,130.24,2387.87,8086.39,332,2212,100,10.72,6.4219,0
107,20.0045,100,491.19,606.46,1479.75,1257.34,9.35,13.66,334.39,2323.99,8725.89,44.41,314.59,2388.09,8054.92,365,2324,100,24.61,14.6571,0
108,35.0058,100,449.44,555.52,1372.72,1128.71,5.48,8,193.97,2222.92,8350.08,42.11,182.96,2387.86,8062.8,333,2223,100,14.83,8.8494,0
109,0.0026,100,518.67,643.09,1588.52,1411.43,14.62,21.61,553.46,2388.1,9050.75,47.67,521.34,2388.07,8133.41,393,2388,100,38.81,23.3158,0
110,35.0018,100,449.44,555.4,1371.09,1129.35,5.48,8,194.71,2222.91,8346.87,42.03,182.72,2387.93,8061.44,333,2223,100,14.99,8.9581,0
111,35.0035,100,449.44,555.85,1367.22,1135.53,5.48,8,194.11,2222.89,8346.44,41.97,182.94,2387.93,8061.18,334,2223,100,14.82,8.9662,0
112,25.0072,60,462.54,536.74,1263.69,1052.1,7.05,9.02,175.82,1915.24,8007.08,36.97,164.32,2028.14,7873.33,308,1915,84.93,14.31,8.5612,0
113,20.0038,100,491.19,607.5,1475.18,1255.33,9.35,13.65,334.38,2323.95,8721.11,44.54,315,2388.12,8053.74,366,2324,100,24.3,14.669,0
114,0.0025,100,518.67,643.33,1591.83,1416.55,14.62,21.61,553.86,2388.17,9053.73,47.65,520.94,2388.15,8134.15,393,2388,100,38.87,23.3599,0
115,20.0075,100,491.19,607.58,1486.67,1257.46,9.35,13.66,334.71,2323.96,8718.73,44.59,314.68,2388.14,8057.14,364,2324,100,24.32,14.616,0
116,35.0052,100,449.44,555.8,1363.44,1129.89,5.48,8,194.62,2222.81,8341.58,41.95,183.03,2387.96,8064.28,334,2223,100,14.73,8.9312,0
117,10.0036,100,489.05,605.39,1508.15,1317.87,10.52,15.49,393.13,2318.97,8771.41,45.28,371.37,2388.16,8117.59,370,2319,100,28.57,17.1081,0
118,9.9982,100,489.05,605.04,1496.83,1307.05,10.52,15.5,393.4,2318.95,8777.08,45.4,371.2,2388.11,8124.24,369,2319,100,28.43,16.9914,0
119,20.0003,100,491.19,607.6,1487.74,1254.27,9.35,13.66,334.75,2323.95,8721.38,44.59,314.8,2388.13,8059.04,365,2324,100,24.37,14.6847,0
120,25.0045,60,462.54,536.76,1263.4,1052.87,7.05,9.03,175.57,1915.24,8004.8,36.68,164.34,2028.07,7874.51,306,1915,84.93,14.37,8.4683,0
121,34.9989,100,449.44,555.48,1359.49,1132.87,5.48,8,194.94,2222.77,8345.89,42.04,183.3,2387.96,8063.3,335,2223,100,14.78,8.9958,0
122,35.0013,100,449.44,556.46,1374.5,1131.21,5.48,8,194.71,2222.81,8338.48,41.96,183.08,2387.9,8058.97,333,2223,100,14.71,8.9073,0
123,20.0018,100,491.19,607.71,1487.92,1256.99,9.35,13.65,334.62,2323.95,8724.58,44.64,314.26,2388.15,8057.23,366,2324,100,24.37,14.6971,0
124,20.0019,100,491.19,608.09,1487.59,1253.21,9.35,13.66,334.56,2323.95,8716.44,44.57,314.42,2388.06,8056.49,365,2324,100,24.24,14.6387,0
125,0.0007,100,518.67,642.66,1592.04,1408.34,14.62,21.61,553.73,2388.13,9049.79,47.66,521.04,2388.13,8128.66,392,2388,100,38.9,23.2624,0
126,0.0015,100,518.67,643.22,1589.39,1412.49,14.62,21.61,552.75,2388.11,9053.03,47.72,521.64,2388.12,8130.43,394,2388,100,38.87,23.3185,0
127,42,100,445,549.59,1360.74,1129.68,3.91,5.72,138.55,2211.74,8321.48,42.14,130.22,2387.79,8077.51,332,2212,100,10.64,6.3983,0
128,9.9999,100,489.05,604.79,1505.49,1311.94,10.52,15.5,394.74,2318.97,8779.08,45.54,371.12,2388.18,8122.45,370,2319,100,28.49,17.1944,0
129,41.9999,100,445,549.63,1358.06,1120.57,3.91,5.71,138.61,2211.7,8319.86,42.11,130.58,2387.8,8074.77,332,2212,100,10.57,6.2571,0
130,20.0074,100,491.19,608.05,1485.18,1251,9.35,13.66,334.8,2323.94,8723.52,44.71,314.6,2388.11,8055.34,367,2324,100,24.39,14.6218,0
131,20.0033,100,491.19,607.44,1489.77,1252.86,9.35,13.66,334.63,2323.97,8715.46,44.63,315,2388.19,8058.65,366,2324,100,24.5,14.6486,0
132,35.0038,100,449.44,555.9,1376.03,1132.98,5.48,8,194.8,2222.83,8349.18,41.99,182.93,2387.85,8064.49,334,2223,100,14.62,8.874,0
133,10.0038,100,489.05,604.88,1504.76,1322.35,10.52,15.5,394.04,2319.07,8771.29,45.51,371.69,2388.23,8124.43,369,2319,100,28.68,17.174,0
134,0.001,100,518.67,643.01,1584.79,1419,14.62,21.61,552.97,2388.14,9055.42,47.73,521.6,2388.1,8126.74,394,2388,100,38.61,23.272,0
135,42.0001,100,445,549.54,1356.67,1138.83,3.91,5.72,137.95,2211.77,8320.45,42.32,130.16,2387.82,8079.33,333,2212,100,10.53,6.2432,0
136,20.0036,100,491.19,607.8,1487.88,1256.22,9.35,13.65,334.61,2323.96,8711.53,44.48,314.31,2388.13,8056.45,365,2324,100,24.35,14.648,0
137,0.0024,100,518.67,643.11,1591.03,1416.72,14.62,21.61,552.64,2388.16,9052.4,47.62,520.79,2388.19,8134.42,395,2388,100,38.68,23.382,0
138,25.0023,60,462.54,536.95,1263.77,1052.52,7.05,9.03,175.67,1915.28,8006.42,36.91,164.89,2028.09,7867.9,308,1915,84.93,14.16,8.5224,0
139,25.0019,60,462.54,537.02,1269.88,1050.34,7.05,9.03,175.32,1915.18,8004.86,36.89,164.24,2028.1,7867.45,309,1915,84.93,14.21,8.5832,0
140,20.0051,100,491.19,607.93,1482.71,1257.84,9.35,13.66,333.74,2324.01,8725.88,44.57,314.32,2388.11,8053.37,365,2324,100,24.46,14.5583,0
141,35.0047,100,449.44,555.7,1367.62,1136.74,5.48,8,194.26,2222.84,8345.26,42.02,182.88,2387.91,8058.23,334,2223,100,14.99,8.882,0
142,42.0007,100,445,550.49,1355.33,1133.65,3.91,5.72,138.49,2211.64,8313.06,42.4,130.2,2387.77,8072.69,331,2212,100,10.58,6.3992,0
143,25.0043,60,462.54,536.61,1261.76,1052.16,7.05,9.03,175.83,1915.2,8005.76,36.72,164.92,2028.09,7871.44,307,1915,84.93,14.3,8.5238,0
144,35.0053,100,449.44,555.96,1369.09,1129.78,5.48,8,193.82,2222.82,8351.13,42,183.35,2387.94,8058.96,335,2223,100,14.79,8.9287,0
145,24.9997,60,462.54,537.2,1260.66,1054,7.05,9.03,174.7,1915.2,8007.38,36.91,164.38,2028.07,7867.2,309,1915,84.93,14.24,8.5687,0
146,0.0018,100,518.67,642.68,1594.32,1408.58,14.62,21.61,553.51,2388.14,9051.01,47.89,520.64,2388.17,8121.34,395,2388,100,38.76,23.2018,0
147,42.0062,100,445,550.18,1361.16,1137.99,3.91,5.71,138.38,2211.66,8308.41,42.26,130.6,2387.75,8074.06,332,2212,100,10.49,6.2373,0
148,0.0006,100,518.67,642.56,1598.79,1418.47,14.62,21.61,553.38,2388.19,9051.38,47.77,520.85,2388.2,8127.42,395,2388,100,38.69,23.2078,0
149,25.0013,60,462.54,537.19,1263.97,1059.19,7.05,9.03,175.06,1915.19,8009.83,36.92,164.55,2028.05,7866.3,307,1915,84.93,14.16,8.5628,0
150,0.0028,100,518.67,643.03,1594.38,1402.41,14.62,21.61,552.43,2388.21,9039.12,47.91,521.22,2388.16,8125.06,392,2388,100,38.67,23.1589,0
151,20.0011,100,491.19,608.03,1490.58,1259.6,9.35,13.66,333.32,2324.04,8721.54,44.72,314.04,2388.15,8048.16,367,2324,100,24.33,14.594,0
152,0.0007,100,518.67,643.48,1593.97,1418.09,14.62,21.61,552.93,2388.17,9044.23,47.85,520.84,2388.18,8124.75,394,2388,100,38.62,23.1688,0
153,20.0075,100,491.19,608.33,1494.02,1262.6,9.35,13.66,334.79,2324.05,8720.98,44.78,314.18,2388.13,8052.35,366,2324,100,24.31,14.651,0
154,25.0071,60,462.54,536.71,1252.52,1056.96,7.05,9.03,174.69,1915.13,8001.46,37.07,164.3,2028.09,7865.48,308,1915,84.93,14.28,8.4292,0
155,10.0078,100,489.05,605.47,1510.98,1316.8,10.52,15.5,394.08,2319.1,8772.21,45.68,370.63,2388.27,8115.27,371,2319,100,28.41,17.0121,0
156,0.0008,100,518.67,643.38,1591.43,1414.56,14.62,21.61,551.81,2388.2,9047.6,47.83,520.25,2388.21,8126.38,394,2388,100,38.55,23.2115,0
157,42.0043,100,445,549.97,1355.94,1132.32,3.91,5.72,139.05,2211.65,8318.96,42.47,130.44,2387.65,8071.18,333,2212,100,10.6,6.3996,0
158,41.9985,100,445,550.06,1357.2,1129.43,3.91,5.71,139.35,2211.67,8317.11,42.38,130.19,2387.67,8073.91,333,2212,100,10.61,6.3196,0
159,41.9982,100,445,549.67,1364.42,1129.67,3.91,5.72,138.1,2211.53,8312.85,42.44,130.79,2387.68,8071.34,330,2212,100,10.5,6.2851,0
160,41.9985,100,445,550.03,1361.17,1143.17,3.91,5.72,138.48,2211.56,8301.23,42.49,129.92,2387.67,8073.04,331,2212,100,10.41,6.4013,0
161,20.0012,100,491.19,607.59,1488.23,1262.97,9.35,13.66,333.99,2324.04,8715.23,44.86,314.35,2388.19,8048.71,367,2324,100,24.24,14.6098,0
162,20.0019,100,491.19,608.17,1495.88,1260.24,9.35,13.66,333.02,2323.96,8719.46,44.74,314.08,2388.12,8051.12,367,2324,100,24.25,14.5631,0
163,42.0045,100,445,550.53,1365.42,1135.89,3.91,5.72,138.65,2211.58,8316.75,42.45,129.51,2387.66,8073.26,332,2212,100,10.49,6.4495,0
164,42.0006,100,445,550.04,1362.37,1134.4,3.91,5.72,138.21,2211.59,8318.53,42.45,130.33,2387.59,8076.76,332,2212,100,10.65,6.2521,0
165,41.998,100,445,549.98,1356.27,1145.59,3.91,5.72,138.29,2211.49,8317.33,42.5,130.22,2387.58,8069.95,332,2212,100,10.48,6.3374,0
166,42.0079,100,445,550.2,1362.49,1132.78,3.91,5.71,138.33,2211.58,8308.84,42.52,130.63,2387.59,8070.59,332,2212,100,10.68,6.3162,0
167,35.0006,100,449.44,556.27,1373.68,1140.53,5.48,8,193.77,2222.78,8334.5,42.46,182.72,2387.82,8056.9,337,2223,100,14.83,8.7475,0
168,19.9996,100,491.19,608.05,1490.3,1267.15,9.35,13.66,333.39,2324,8715.34,44.75,313.65,2388.15,8045.94,368,2324,100,24.23,14.5664,0
169,20.0041,100,491.19,608.28,1497,1264,9.35,13.66,333.78,2324.02,8709.19,44.95,314.16,2388.12,8052.11,367,2324,100,24.41,14.5699,0
170,42.0005,100,445,549.52,1364.84,1132.52,3.91,5.71,138.07,2211.46,8312.81,42.41,130.55,2387.59,8070.83,334,2212,100,10.55,6.2163,0
171,20,100,491.19,608.27,1500.18,1270,9.35,13.66,333.1,2324.04,8713.43,44.88,313.58,2388.21,8043.75,368,2324,100,24.24,14.6349,0
172,20.0059,100,491.19,608.32,1491.11,1261.74,9.35,13.66,333.18,2323.98,8717.82,44.83,314.36,2388.19,8042.25,366,2324,100,24.3,14.5673,0
173,20.0033,100,491.19,608.15,1492.73,1264.08,9.35,13.66,333.53,2324.03,8708.06,44.88,314.15,2388.21,8048.47,367,2324,100,24.28,14.5415,0
174,9.9995,100,489.05,605.6,1512.75,1321.55,10.52,15.5,392.79,2319.21,8768.72,45.84,370.45,2388.34,8116.94,373,2319,100,28.43,17.1036,0
175,0.0019,100,518.67,643.62,1601.97,1428.39,14.62,21.61,552.15,2388.29,9047.49,48.13,519.5,2388.24,8116.54,394,2388,100,38.41,23.1008,0
176,25.0004,60,462.54,537.19,1269.25,1061.31,7.05,9.03,174.58,1915.06,8003.1,37.29,164.1,2027.97,7861.56,309,1915,84.93,14.18,8.496,0
177,42.0017,100,445,550.56,1361.55,1136.99,3.91,5.72,138.15,2211.47,8309.94,42.54,130.34,2387.51,8063.01,333,2212,100,10.36,6.203,0
178,0.0015,100,518.67,643.52,1598.53,1423.86,14.62,21.61,552,2388.32,9039.04,48.02,519.45,2388.31,8117.62,396,2388,100,38.48,23.1378,0
179,35.0019,100,449.44,556.5,1378.32,1142.62,5.48,8,194.09,2222.63,8336.68,42.42,182.75,2387.72,8049.28,338,2223,100,14.64,8.9671,0
180,24.9982,60,462.54,537.11,1269.17,1063.49,7.05,9.03,175.03,1915.06,8003.97,37.27,164.3,2027.91,7860.6,309,1915,84.93,14.02,8.4534,0
181,35.0058,100,449.44,555.81,1368.65,1139.6,5.48,8,193.61,2222.63,8336.21,42.6,182.09,2387.68,8048.49,335,2223,100,14.7,8.7574,0
182,25.0049,60,462.54,537.34,1266,1060.95,7.05,9.03,174.67,1915.03,8001.06,37.08,163.9,2027.85,7862.5,311,1915,84.93,14.16,8.5096,0
183,20.0001,100,491.19,608.22,1496.94,1270.2,9.35,13.66,333.36,2324.07,8709.88,45.15,314.29,2388.16,8046.62,367,2324,100,24.15,14.4517,0
184,0.0014,100,518.67,644.15,1599.71,1424.97,14.62,21.61,551.13,2388.35,9040,48.24,519.42,2388.29,8121.02,397,2388,100,38.41,23.0792,1
1,20.007,100,491.19,607.08,1471.68,1247.42,9.35,13.65,335.22,2323.91,8721.41,44.19,315.62,2388.08,8063.45,363,2324,100,24.69,14.7952,0
2,10.0058,100,489.05,604.34,1489.38,1297.07,10.52,15.49,395.12,2318.81,8779.72,45.27,372.08,2388.05,8138.68,369,2319,100,28.81,17.1738,0
3,24.9997,60,462.54,536.48,1261.29,1046.94,7.05,9.03,176.18,1915.4,8017.52,36.51,164.75,2028.31,7876.84,306,1915,84.93,14.41,8.6063,0
4,35.004,100,449.44,555.61,1360.23,1133.67,5.48,8,194.75,2222.99,8352.16,41.62,183.29,2388.17,8073.4,334,2223,100,14.87,8.8824,0
5,0.0014,100,518.67,642.45,1581.12,1401.84,14.62,21.61,554.57,2388.02,9058.83,47.03,522.49,2388.02,8139.11,392,2388,100,39.05,23.359,0
6,10.0012,100,489.05,604.68,1494.46,1309.6,10.52,15.49,395.42,2318.81,8789.65,45.22,372.36,2388.09,8131.01,367,2319,100,28.68,17.1718,0
7,35.0045,100,449.44,555.82,1363.53,1118.93,5.48,8,194.45,2223.05,8344.03,41.66,183.58,2388.11,8073.4,333,2223,100,14.87,8.9351,0
8,35.0005,100,449.44,555.33,1358.36,1123.59,5.48,8,195.15,2223.04,8351.83,41.74,183.69,2388.11,8071.49,334,2223,100,14.87,9.056,0
9,34.9989,100,449.44,555.26,1354.24,1119.57,5.48,8,194.95,2223.04,8355.54,41.69,183.45,2388.1,8072.43,333,2223,100,14.89,8.9441,0
10,25.0048,60,462.54,536.51,1256.51,1045.38,7.05,9.02,175.32,1915.41,8009.24,36.65,164.88,2028.27,7876.41,306,1915,84.93,14.4,8.6411,0
11,0.0006,100,518.67,642.11,1581.25,1399.83,14.62,21.61,554.21,2388,9061.07,47.23,521.96,2387.99,8144.43,391,2388,100,39.2,23.4351,0
12,10.0004,100,489.05,604.27,1494.19,1310.27,10.52,15.49,395.19,2318.84,8784.43,45.02,372.47,2388.09,8137.17,369,2319,100,28.67,17.215,0
13,10.0049,100,489.05,604.17,1492.51,1295.44,10.52,15.49,395.76,2318.76,8771.01,45.11,371.84,2388.03,8138,369,2319,100,28.85,17.1536,0
14,9.9998,100,489.05,604.48,1483.13,1299.25,10.52,15.49,394.85,2318.82,8780.55,45.12,371.97,2388.03,8137.65,367,2319,100,28.75,17.1958,0
15,42.0048,100,445,549.64,1353.83,1121.51,3.91,5.71,139.52,2212.03,8319.23,41.9,130.81,2388.07,8089.07,330,2212,100,10.68,6.4012,0
16,35.0012,100,449.44,555.16,1363.23,1125.07,5.48,8,195.37,2222.98,8355.78,41.74,183.44,2388.07,8070.4,333,2223,100,14.74,8.9551,0
